disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q11797958,oligologia,,,,
Q10350580,ombrophobia,,,,
Q55781473,"omphalocele syndrome, Shprintzen-Goldberg type",,,,
Q48638973,oneirism,state of abnormal consciousness in which dream-like experiences and hallucinations happen while awake,,,
Q1544517,oneiroid syndrome,dream-like fantastic delusional state (psychopathological syndrome),,,
Q1419434,oneirophrenia,acute schizophrenia-like psychotic disorder in which hallucinations and dream-like state are the main clinical features,,,
Q606624,oniomania,obsession with shopping and buying behavior that causes adverse consequences,,,
Q596505,ophidiophobia,Irrational fear of snakes,,,
Q55781307,ophthalmoplegia-intellectual disability-lingua scrotalis syndrome,human disease,,,
Q18555117,opiate dependence,drug dependence that involves the continued use of opiate drugs despite despite problems related to use of the substance,"['naltrexone', 'levomethadyl', 'buprenorphine', 'nalmefene', 'levomethadyl acetate', '(RS)-methadone', 'clonidine hydrochloride', 'naloxone']",,
Q61861225,opioid induced endocrinopathy,,,,
Q17154378,opioid overdose,acute medical condition due to excessive use of opioids and related substance,['naloxone'],,"['chronic pain', 'opioid use disorder', 'mental distress']"
Q1639178,opioid use disorder,substance abuse disorder that involves the recurring use of opioid drugs despite negative consequences,['buprenorphine'],,
Q2026920,opioid withdrawal syndrome,Withdrawal symptoms of opiates,,,
Q67085655,opioid-related disorders,disorders related to or resulting from abuse or misuse of opioids,,,
Q102245543,opium addiction,disease caused by a long-lasting consumption of opium,,,
Q48968805,oppai slash,"fetishism of a band (such as that of an automobile shoulder harness, sash or shoulder bag) passing between the wearer's breasts",,,
Q1328833,oppositional defiant disorder,human disorder involving hostility and defiance,"['clonidine hydrochloride', 'risperidone', 'chlorpromazine']",,
Q55784781,optic atrophy-intellectual disability syndrome,human disease,,,
Q10611039,oral galvanism,medical condition,,,
Q113360747,oral substance abuse,"abuse, overuse or misuse of a substance by ingestion",,,
Q2030018,organ neurosis,,,,
Q2870714,organic anxiety disorder,human disease,,,
Q360341,organic brain syndrome,syndrome or disorder of mental function whose cause is alleged to be known as organic (physiologic) rather than purely of the mind,,,
Q10687207,organic or symptomatic mental disorder,,,,
Q3449191,organic personality disorder,mental disorder,,,
Q2172144,organic psychosis,,,,
Q7458756,orgasmic anhedonia,condition in which an individual cannot feel pleasure from an orgasm,,,
Q10611388,orgasmic dysfunction,orgasm either does not occur or is markedly delayed,,,
Q3043161,ornithine carbamoyltransferase deficiency,urea cycle disorder that involves a mutated and ineffective form of the enzyme ornithine transcarbamylase,,,
Q619261,ornithophobia,irrational fear of birds,,,
Q2858959,orofacial apraxia,,,,
Q3508783,oral-facial-digital syndrome,"genetic disease that is characterized by malformations of the face, oral cavity, and digits with polycystic kidney disease and variable involvement of the central nervous system and has material basis in X-linked inheritance of an OFD gene",,,
Q1334368,orthorexia nervosa,proposed eating disorder characterized by an excessive preoccupation with eating healthy food,,,
Q55788500,ossification anomalies-psychomotor developmental delay syndrome,"Ossification anomalies-psychomotor developmental delay syndrome is characterised by hypomineralisation of the cranial bones, thoracic dystrophy, hypotonia, and abnormal and slender long bones due to an alteration in remodelling during ossification",,,
Q55782182,osteopenia-intellectual disability-sparse hair syndrome,,,,
Q55788743,osteopenia-myopia-hearing loss-intellectual disability-facial dysmorphism syndrome,,,,
Q32136402,osteoporosis-pseudoglioma syndrome,Osteoporosis pseudoglioma syndrome is a very rare autosomal recessive disorder characterized by congenital or infancy-onset blindness and severe juvenile-onset osteoporosis and spontaneous fractures,,,
Q28402671,ostraconophobia,fear of shellfish,,,
Q9385429,overactive disorder associated with mental retardation and stereotyped movements,disease,,,
Q18385717,overgeneral autobiographical memory,medical condition,,,
Q55782834,pachygyria-intellectual disability-epilepsy syndrome,,,,
Q3288182,pagophagia,Eating disorder characterized by the compulsive consumption of ice or iced drinks,,,
Q2868696,pain agnosia,agnosia that is a loss of the ability to perceive and process pain,,,
Q3297888,pain disorder,"somatoform disorder that involves chronic pain in one or more areas, and is thought to be caused by psychological stress.",,,
Q55784977,palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome,human disease,,,
Q696490,panic attack,period of intense fear or apprehension of sudden onset,,,
Q741713,panic disorder,Anxiety disorder characterized by reoccurring unexpected panic attacks,"['temazepam', 'paroxetine', 'maprotiline', 'nordazepam', 'clonazepam', 'sertraline', 'propranolol', 'imipramine', 'fluvoxamine', 'diazepam', 'clomipramine', 'fluoxetine', 'alprazolam']","['palpitation', 'panic attack']",
Q1436162,pantothenate kinase-associated neurodegeneration,A neurodegeneration with brain iron accumulation that has_material_basis_in autosomal recessive inheritance of mutation in the PANK2 gene on chromosome 20p13.,,,
Q25448996,paradoxical vocal cord motion disorder,,,,
Q7134645,paragrammatism,inability to form grammatically correct sentences,,,
Q2051550,paralexia,Reading disability,,,
Q16580457,paralogical thinking,,,,
Q1229994,paranoia,"thought process believed to be heavily influenced by anxiety or fear, often to the point of delusion and irrationality",,['Paranoid Behavior'],
Q4344979,paranoiac syndrome,,,,
Q57756307,paranoial delusion,delusion caused by paranoia,,,
Q28914244,paranoial schizophrenia,subtype of schizophrenia defined in Russia,,,
Q3043347,paranoid delusion,mental disorder,,,
Q747735,paranoid personality disorder,"mental disorder characterized by paranoia and a pervasive, long-standing suspiciousness and generalized mistrust of others",,,
Q3043345,paranoid psychosis,,,['paranoid delusion'],
Q2606101,paranoid schizophrenia,"schizophrenia that involves delusions or auditory hallucinations of persecution or being plotted against without thought disorder, disorganized behavior, or affective flattening",['(E)-chlorprothixene'],['hallucination'],
Q55011952,paranoid state,human disease,,,
Q4344975,paranoid syndrome,psychopathological syndrome (constellation of signs and symptoms of a mental disorders),,,
Q55011886,paranoid type schizophrenia chronic state with acute exacerbation,human disease,,,
Q55011547,paranoid type schizophrenia in remission,human disease,,,
Q55011557,paranoid type schizophrenia subchronic state with acute exacerbation,human disease,,,
Q512942,paraphasia,"language output error commonly associated with aphasia, and characterized by the production of unintended syllables, words, or phrases during the effort to speak",,,
Q178059,paraphilia,"experience of intense sexual arousal to atypical objects, situations, or individuals",,,
Q181757,paraphilic infantilism,sexual fetish that involves role-playing a regression to an infant-like state,,,
Q2476251,paraphrenia,human disease,,,
Q55782585,paraplegia-intellectual disability-hyperkeratosis syndrome,,,,
Q559869,parasomnia,category of sleep disorders,,,
Q2051906,parathymia,,,,
Q18553278,parenchymatous neurosyphilis,Human disease,,"['irritability', 'insomnia', 'lethargy']",
Q104603192,parental mental illness,occurence of mental illness in parents,,,
Q55346006,parkinsonism due to ATP13A2 deficiency,human disease,,,
Q3366838,partialism,Attraction on the basis of sexual desire toward non-genital anatomy,,,
Q1335831,paruresis,Shy bladder syndrome,,,
Q28823477,passive–aggressive personality disorder,"personality disorder characterized by procrastination, covert obstructionism, inefficiency and stubbornness",,,
Q55786422,paternal 14q32.2 hypomethylation syndrome,human disease,,,
Q55786420,paternal 14q32.2 microdeletion syndrome,human disease,,,
Q748309,pathological gambling,urge to continuously gamble despite harmful negative consequences or a desire to stop,,,
Q4346962,pathological intoxication,extraordinary severe response to alcohol,,,
Q370098,pathological lying,behavior of habitual or compulsive lying,,,
Q3373897,pecattiphilia,,,,
Q8388,pedophilia,paraphilia characterized by a sexual attraction to prepubescent children,,,
Q98138044,penile dysmorphic disorder,,,,
Q3458171,penis-shrinker,imaginary African sorcerer,,,
Q6159040,perception of English /r/ and /l/ by Japanese speakers,japanese-language speakers' perception of English consonants,,,
Q20494879,performance anxiety,anxiety related to the execution of a task,,,
Q13038909,periodic limb movement disorder,sleep disorder that involves involuntary limb movement during sleep,,['periodic limb movement'],
Q1707008,perionychophagia,,,,
Q1132536,persecutory delusion,delusion involving perception of persecution,,,
Q1499171,perseveration,"persistent repetition of previously used phrases, words or details (psychopathological symptom)",,,
Q55014084,persistent disorder of initiating or maintaining sleep,human disease,,,
Q55014074,persistent disorder of initiating or maintaining wakefulness,human disease,,,
Q3525894,personality changes,,,,
Q430947,personality development disorder,form of development disorder,,,
Q270673,personality disorder,maladaptive patterns of behavior,"['risperidone', 'quetiapine', 'aripiprazole']",,
Q2540067,personality disorder not otherwise specified,medical condition,,,
Q6691991,pervasive developmental disorder,range of neurodevelopmental conditions,['risperidone'],,
Q7171237,pervasive refusal syndrome,Hypothesized pediatric mental disorder,,,
Q22162415,phallophobia,fear of the erect penis or excessive aversion to masculinity,,,
Q55785878,phenobarbital embryopathy,"#64257;nger hypoplasia, brachydactyly and hypospadias have been reported in rare cases",,,
Q175854,phobia,an anxiety disorder defined by a persistent and excessive fear of an object or situation,,,
Q1688222,phonagnosia,agnosia that is a loss of the ability to recognize familiar voices,,,
Q10497677,phonasthenia,,,,
Q7187290,phonological dyslexia,,,,
Q55782468,phosphoribosylpyrophosphate synthetase superactivity,human disease,,,
Q66296097,physiological sexual dysfunction,"physiological disturbances in normal sexual performance, in either the male or the female",,,
Q1134891,pica,eating disorder,,['eating'],
Q1152737,piquerism,sexual interest in penetrating another person's skin,,,
Q1639827,poly drug use,act of using multiple substances to achieve a desired effect,,,
Q55784852,polyendocrine-polyneuropathy syndrome,human disease,,,
Q55783974,polymicrogyria with optic nerve hypoplasia,human disease,,,
Q55787018,polymicrogyria-turricephaly-hypogenitalism syndrome,human disease,,,
Q653267,polyphagia,excessive hunger or increased appetite,,,
Q102186530,poor enunciation,symptom,,,
Q1319971,pornography addiction,compulsive sexual behaviour driven by use of pornography,,,
Q18413651,post ICU amnesia,amnesia following intensive care unit  hospitalization,,,
Q1069589,post-chemotherapy cognitive impairment,impairment that can result from chemotherapy treatment,,,
Q2581333,post-concussion syndrome,organic brain syndrome that occurs following head trauma (i.e. concussion),,"['dizziness', 'headache', 'irritability']",
Q3208285,post-schizophrenic depression,"depressive episode, arising in the aftermath of a schizophrenic psychosis",,,
Q2106329,post-traumatic embitterment disorder,"proposed disorder of a pathological reaction to a negative life event, causing embitterment, anger, fury, hatred and revenge fantasies",,,
Q3664169,post-traumatic headache,,,,
Q202387,post-traumatic stress disorder,mental disorder that developed after experiencing or witnessig a terrifying or life-threatening event,"['risperidone', 'lamotrigine', 'topiramate', 'carbamazepin', 'aripiprazole', 'lithium compounds', 'sertraline', 'nefazodone', 'tranylcypromine', 'venlafaxine', 'prazosin', 'escitalopram', 'alprazolam', 'clonazepam', 'fluoxetine', 'paroxetine', '(S)-duloxetine', '(RS)-citalopram', 'quetiapine', 'Cannabis indica']","['chronic postsurgical or post traumatic pain', 'anxiety', 'nightmare']",
Q3508787,postencephalitic Parkinson disease,"A disease believed to be caused by a viral illness that triggers degeneration of the nerve cells in the substantia nigra. Overall, this degeneration leads to clinical parkinsonism.",['L-scopolamine'],,
Q2357690,postencephalitic syndrome,,,,
Q55345797,posterior column ataxia-retinitis pigmentosa syndrome,Posterior column ataxia - retinitis pigmentosa is characterized by the association of progressive sensory ataxia and retinitis pigmentosa,,,
Q56298078,posterior fossa syndrome,,,,
Q30913551,postictal psychosis,,,,
Q55345893,postnatal microcephaly-infantile hypotonia-spastic diplegia-dysarthria-intellectual disability syndrome,human disease,,,
Q956181,postoperative cognitive dysfunction,cognitive impairment or functional decline after a surgical procedure,,,
Q935129,postpartum depression,"endogenous depression that involves intense, sustained and sometimes disabling depression experienced by women after giving birth","['(S)-duloxetine', 'sertraline']",,
Q2339132,postpartum psychosis,Peurperal psychosis,,,
Q1246099,posttraumatic stress disorder in children and teens,,,,
Q7235099,potomania,hypo-osmolality syndrome related to massive consumption of beer,,['hyponatremia'],
Q55787017,preaxial polydactyly-colobomata-intellectual disability syndrome,,,,
Q55011592,predominant disturbance of consciousness,human disease,,,
Q55014429,predominant disturbance of emotions,human disease,,,
Q7239873,pregaming,process of getting drunk prior to going out socializing,,,
Q2108373,pregorexia,,,,
Q319312,premature ejaculation,ejaculation and climax soon after initiating sexual activity,['dapoxetine hydrochloride'],,
Q2728811,premenstrual dysphoric disorder,depressive disorder,,['cognitive dysfunction'],
Q7240522,prenatal cocaine exposure,exposure of a fetus to cocaine when a pregnant woman uses the drug,,,
Q10638540,prepsychosis,,,,
Q7240713,presbylarynx,,,,
Q30913386,presbyophrenia,,,,
Q19936090,presenile dementia,,,,
Q7241734,pressure of speech,"tendency to speak rapidly and frenziedly, as if motivated by an urgency not apparent to the listener",,,
Q55790499,primary central sleep apnea syndrome,human disease,,,
Q18558090,primary cerebellar degeneration,Human disease,,,
Q2110202,primary insomnia,disease,,,
Q55787774,primary non-essential cutis verticis gyrata,human disease,,,
Q929963,primary polydipsia,dry mouth and excessive fluid consumption in the absence of physiological stimuli to drink,,,
Q18767,primary progressive aphasia,progressive language and speech disorder,,,
Q55346005,primary progressive apraxia of speech,human disease,,,
Q7544146,problematic smartphone use,form of psychological or behavioral dependence on cell phones,,,
Q59681050,problematic social media use,a proposed medical diagnosis related to overuse of social media,,,
Q30141385,problems with words in speaking or writing,,,,
Q111207408,profound autism,,,,
Q11791661,profound intellectual disability,,,,
Q55784884,progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome,human disease,,,
Q18583,progressive nonfluent aphasia,neurological disorder,,,
Q55784975,progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome,human disease,,,
Q945930,progressive supranuclear palsy,"Progressive supranuclear palsy (PSP) is a rare late-onset neurodegenerative disease characterized by supranuclear gaze palsy, postural instability, progressive rigidity, and mild dementia",,,
Q7249599,prolidase deficiency,medical condition,,,
Q25408209,prolongated alalia,,,,
Q55782055,prominent glabella-microcephaly-hypogenitalism syndrome,"Prominent glabella B microcephaly B hypogenitalism is a very rare syndrome described in two sibs and characterized by prenatal onset of growth deficiency, microcephaly, hypoplastic genitalia, and birth onset of convulsions",,,
Q244438,prosopagnosia,inability to recognize familiar faces,,,
Q55783743,"prosopagnosia, hereditary",instance of prosopagnosia (disease) that is caused by an inherited modification of the individual's genome,,,
Q19001414,protracted reactive paranoid psychosis,mental disorder,,,
Q3508789,pseudobulbar affect,condition involving unusual and involuntary laughing or crying,,,
Q7254736,pseudodementia,medical condition,,,
Q2361468,pseudohallucination,"involuntary sensory experience vivid enough to be regarded as a hallucination, but recognised by the patient not to be the result of external stimuli",,,
Q25403104,pseudomnesia,,,,
Q7255172,pseudoneurotic schizophrenia,mental disorder,,,
Q4392520,pseudophilosophical thinking,thought disorder,,,
Q26721126,pseudopsychopathic schizophrenia,form of schizophrenia characterized by pseudopsychopathic defect (personality changes) resulting from the disease process,,,
Q27924344,pseudoreminiscence,term,,,
Q21116617,psycho-neurologic disturbance,symptom,,,
Q18967178,psychogenic dysmenorrhea,Human disease,,,
Q1458782,psychogenic mental retardation,human disease,,,
Q695954,psychogenic pain,Type of pain,,,
Q18554007,psychologic dyspareunia,Human disease,['ospemifene'],,
Q18553788,psychologic vaginismus,vaginal disease,,,
Q4419854,psychological pillow,symptom of catatonia (where the individual holds his head a few centimetres above the bed),,,
Q1696880,psychoneurosis,,,,
Q7256456,psychoorganic syndrome,"disorder characterised by impairment of memory, thought disorders etc., due to diffuse psychoorganic brain damage",,,
Q30897648,psychopathological symptom,the signs and symptoms of mental disorders,,,
Q56815734,psychopathological syndrome,constellation of signs and symptoms that together make up a recognisable mental disorder,,,
Q21661573,psychopharmacological delirium,neurocognitive disorder,,,
Q7256482,psychosexual disorder,Human disease,,,
Q170082,psychosis,abnormal condition of the mind that involves a loss of contact with reality,"['haloperidol', 'brexpiprazole', 'ziprasidone', 'asenapine', 'amoxapine', 'pimavanserin', 'aripiprazole', 'paliperidone', 'lurasidone', 'clospirazine hydrochloride', 'quetiapine', 'clozapine', 'diazepam', 'risperidone', 'olanzapine']",,
Q3698300,psychotic break,medical condition of temporary break with reality,,,
Q2914583,psychotic depression,major depressive episode that is accompanied by psychotic symptoms,,,
Q3042109,psychotic disharmony,,,,
Q55782821,pterygium colli-intellectual disability-digital anomalies syndrome,,,,
Q55786308,ptosis-syndactyly-learning difficulties syndrome,human disease,,,
Q11831676,puerilism,"Childlike behavior by an adult, especially as indicating a mental disorder.",,,
Q20827012,punding,"engaging in a highly repetitve activity with no purpose, often seen in users of stimulants",,,
Q7261142,pure alexia,loss of the power to comprehend written materials despite preservation of the ability to write,,,
Q2367680,pure anarthria,,,,
Q622604,pyromania,impulse control disorder,,,
Q2309570,pyrophilia,paraphilia in which a subject derives gratification from fire and fire-starting activity,,,
Q60963776,quasi-autism,autistic-like behavior in young children impacted by severe social deprivation,,,
Q7270562,queen bee syndrome,behavior in which a woman in a position of authority views or treats female subordinates more critically,,,
Q252110,querulant,Person who obsessively feels wronged,,,
Q25424564,querulous paranoia,psychiatric diagnosis,,,
Q56063104,racial trauma,race-based traumatic stress; the cumulative effects of racism on an individual’s mental and physical health,,,
Q7280328,radiation-induced cognitive decline,,,,
Q1781491,radiophobia,obsessive fear of ionizing radiation,,,
Q55782257,radioulnar synostosis-developmental delay-hypotonia syndrome,,,,
Q55790502,rapid eye movement sleep disorder,human disease,,,
Q114757306,rapid-onset gender dysphoria,clinical hypothesis,,,
Q18701208,rapidly progressive dementia,,,,
Q55785790,rare disease with autism,human disease,,,
Q55785255,rare non-syndromic intellectual disability,Rare non-syndromic intellectual disability,,,
Q1329584,reactive attachment disorder,severe and relatively uncommon disorder that can affect children,,,
Q18971674,reactive confusion,Human disease,,,
Q8354911,reactive depression,,,,
Q97696569,reading disability,challenge in learning to read,,,
Q17077617,reading disorder and écrites disorder,"range of neurological conditions, developmental or acquired",,,
Q1741331,receptive aphasia,type of aphasia,,,
Q55786926,recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome,human disease,,,
Q55346085,recessive mitochondrial ataxia syndrome,human disease,,,
Q7303086,recreational use of dextromethorphan,none,,,
Q55011401,recurrent major depression in complete remission,human disease,,,
Q19001125,recurrent manic episodes,Human disease,,,
Q55346061,recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome,human disease,,,
Q2973381,reduced affect display,condition of reduced emotional reactivity in an individual,,,
Q18638,reduplicative paramnesia,delusional belief,,,
Q3445377,regressive autism,,,,
Q67135693,rejection sensitive dysphoria,strong emotional response to perceived rejection typically seen in people with ADHD,,,
Q7310715,relational disorder,,,,
Q16068890,relationship addiction,,,,
Q7311344,religious delusion,delusion involving religious themes or subject matter,,,
Q7312489,renal dysplasia-limb defects syndrome,medical condition,,,
Q32136710,renal hypomagnesemia 5 with ocular involvement,human disease,,,
Q19001197,repetitive intrusions of sleep,Human disease,,,
Q3208830,residual schizophrenia,"mental disorder, chronic stage in the development of a schizophrenic illness",,,
Q18966340,residual subchronic schizophrenia,Human disease,,,
Q10421047,resignation syndrome,medical and political debate in Sweden in 2006,,,
Q3427757,respiratory-effort related arousals,,,,
Q55784851,retinitis pigmentosa-juvenile cataract-short stature-intellectual disability syndrome,human disease,,,
Q1193891,retrograde amnesia,loss of memory of events that in occurred before the onset of amnesiac condition,,,
Q6129341,revendication neurosis,,,,
Q1244624,rhotacism,"difficulty in pronouncing rhotic (""r"") sounds",,,
Q559543,rhythmic movement disorder,neurological disorder,,,
Q55785475,ring chromosome 10,,,,
Q623401,robot fetishism,fetishistic attraction to humanoid robots,,,
Q2167365,roshutsu,exhibitionism in Japan,,,
Q113501758,ruinenlust,Obsession with ruins,,,
Q4358147,rumination disorder,eating disorder that is characterized by effortless regurgitation of most meals following consumption,,,
Q17285927,sadistic personality disorder,personality disorder diagnosis involving sadism,,,
Q2211650,sadomasochism,giving or receiving of pleasure from acts involving the receipt or infliction of pain or humiliation,,,
Q1266211,salirophilia,sexual fetish or paraphilia that involves deriving erotic pleasure from soiling or disheveling the object of one's desire,,,
Q4138006,salophilia,attraction to   body sweat,,,
Q11025831,satyriasis,male hypersexuality,,,
Q467265,savant syndrome,"psychological disorder that turns people to a megasavant, with a serious mental disorder",,,
Q7430080,scanning speech,type of ataxic dysarthria in which spoken words are broken up into separate syllables,,,
Q18967748,schizo-affective type schizophrenia chronic state,Human disease,,,
Q18967612,schizo-affective type schizophrenia chronic state with acute exacerbation,Human disease,,,
Q55010770,schizo-affective type schizophrenia in remission,human disease,,,
Q18966968,schizo-affective type schizophrenia subchronic state,Human disease,,,
Q18967746,schizo-affective type schizophrenia subchronic state with acute exacerbation,Human disease,,,
Q834047,schizoaffective disorder,mental disorder,"['asenapine', 'haloperidol', 'lithium', 'lurasidone', 'ziprasidone', 'clozapine', 'risperidone', 'aripiprazole', 'paliperidone', 'olanzapine', 'brexpiprazole', 'lithium carbonate', 'quetiapine']",,
Q498237,schizoid personality disorder,personality disorder causing emotional detachment and social isolation,,,
Q2236632,schizophasia,,,,
Q41112,schizophrenia,psychotic disorder characterized by emotional responsiveness and disintegration of thought process,"['olanzapine', 'pimozide', 'aripiprazole', '(R,R)-asenapine', 'pipotiazine', 'paliperidone', 'thioridazine', 'perphenazine', '(RS)-amisulpride', 'flupentixol', 'carbamazepin', 'levosulpiride', 'cariprazine', 'brexpiprazole', '(±)-molindone', 'ziprasidone', 'transclopenthixol', 'haloperidol', 'risperidone', 'iloperidone', 'reserpine', '(E)-chlorprothixene', 'zotepine', 'mesoridazine', '(Z)-thiothixene', 'trifluoperazine', 'fluphenazine', 'bexarotene', 'chlorpromazine', 'loxapine', 'clozapine', 'armodafinil', 'carphenazine', 'clonazepam', 'acetophenazine']","['psychosis', 'cognitive dysfunction']",
Q2903417,schizophrenia spectrum disorder,"schizophrenia spectrum disorders include schizophrenia, other psychotic disorders genetically related to schizophrenia, schizotypal (personality) disorder and schizoid personality disorder",,,
Q4523719,schizophrenia-like disorder,schizophrenia-like disorder due to brain damage and dysfunction,,,
Q4523718,schizophrenic dementia,,,,
Q5840516,schizophrenic prodrome,,,,
Q26721384,schizophrenic reaction,psychotic reaction characterized by schizophrenia-like symptoms,,,
Q2157462,schizophreniform disorder,psychotic disorder that involves schizophrenia symptoms over time period of one month,"['(E)-chlorprothixene', 'fluphenazine', 'triflupromazine', '(±)-molindone', 'prochlorperazine', 'loxapine', 'trifluoperazine', 'acetophenazine', 'droperidol', 'lorazepam', 'olanzapine', 'chlorpromazine', 'haloperidol', '(Z)-thiothixene', 'pimozide', 'clozapine', 'quetiapine', 'promazine', 'perphenazine', 'mesoridazine', 'thioridazine', 'carbamazepin']",,
Q861560,schizotypal personality disorder,"personality disorder that involves a need for social isolation, anxiety in social situations, odd behavior and thinking, and often unconventional beliefs",,,
Q1316515,school refusal,anxiety or fear of school causing physical symptoms such as nausea and headaches,,,
Q107417164,schoolgirl uniform fetish,,,,
Q2637106,scintillating scotoma,visual aura,,,
Q3497292,scopophobia,fear of being seen or stared at by others,,,
Q170102,scrapie,disease that affects sheep and goats,,,
Q772440,scrupulosity,pathological guilt,,,
Q1051223,seasonal affective disorder,mental depression that involves presentation of depressive symptoms only during a specific season of the year,,,
Q55632785,secondary mania,variation of Bipolar disorder,,,
Q55782875,secondary nocturnal enuresis,Nocturnal enuresis where the child has been dry for at least 6 months but enuresis has recurred,,,
Q55011220,secondary syphilitic meningitis,human disease,,,
Q25377859,sedative overdose,,,,
Q565650,seeing pink elephants,euphemism for drunken hallucination caused by alcoholic hallucinosis or delirium tremens,,,
Q55784965,seizures-scoliosis-macrocephaly syndrome,human disease,,,
Q377493,selective mutism,anxiety disorder causing inability to speak under certain circumstances,,,
Q580754,self-defeating personality disorder,proposed personality disorder in an earlier edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-III-R) in 1987,,,
Q18553690,semantic agnosia,"agnosia that is a loss of the ability to visually recognise an object while maintaining the use of non-visual sensory systems such as feeling, tapping, smelling, rocking or flicking the object to recognise the object",,,
Q18587,semantic dementia,progressive neurodegenerative disorder,,,
Q11610626,senile dementia,,,,
Q10370073,senility,physical and mental decline by aging,,,
Q9247871,sensorial dyslalia,,,,
Q2300749,separation anxiety disorder,anxiety disorder that involves the feeling of excessive and inappropriate levels of anxiety over being separated from a person to whom the individual has a strong emotional attachment or place,,,
Q19365224,serious mental illness,mental health condition that seriously impairs life activities,,,
Q3540885,severe behavioral disorder,,,,
Q55785083,severe growth deficiency-strabismus-extensive dermal melanocytosis-intellectual disability syndrome,human disease,,,
Q55785007,severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,human disease,,,
Q55788877,severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia,,,,
Q55784859,severe intellectual disability-epilepsy-cataract syndrome due to fatty acyl-CoA reductase 1 deficiency,human disease,,,
Q55788188,severe intellectual disability-hypotonia-strabismus-coarse face-planovalgus syndrome,human disease,,,
Q55787981,severe intellectual disability-progressive postnatal microcephaly- midline stereotypic hand movements syndrome,human disease,,,
Q55999520,severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome,human disease,,,
Q55787391,severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion,human disease,,,
Q56014156,severe phosphoribosylpyrophosphate synthetase superactivity,,,,
Q2735540,sexual addiction,proposed compulsive sexual disorder,,,
Q2275677,sexual arousal disorder,lack or absence of sexual desire,,,
Q25389052,sexual aversion,sexual dysfunction in which the prospect of sexual interaction produces sufficient anxiety or fear that sexual activity is avoided,,,
Q18553616,sexual disorder,type of mental disorder,,,
Q1137463,sexual dysfunction,difficulty experienced by humans during any stage of normal sexual activity,['tadalafil'],,
Q18553956,sexual masochism,"mental disorder involving sexual arousal from enduring pain, suffering, or humiliation",,,
Q5507613,sexual sadism disorder,paraphilia in which a subject derives gratification from giving pain,,,
Q1108601,sexual slavery,in BDSM,,,
Q114714864,sexual trauma,physical and psychological injuries resulting from sexual violence,,,
Q15061465,shell shock,type of trauma experienced in World War One,,,
Q2398352,shift work sleep disorder,medical condition,,,
Q1651685,shoe fetishism,sexual interest or obsession with footwear,,,
Q55785133,short stature-brachydactyly-obesity-global developmental delay syndrome,human disease,,,
Q55786978,short stature-webbed neck-heart disease syndrome,,,,
Q55784536,short ulna-dysmorphism-hypotonia-intellectual disability syndrome,human disease,,,
Q27164454,short-rib thoracic dysplasia 14 with polydactyly,asphyxiating thoracic dystrophy that has material basis in homozygous mutation in the KIAA0586 gene on chromosome 14q23,,,
Q16879474,short-term effects of alcohol,The short term effects of alcohol on human beings,,,
Q55786536,shoulder and girdle defects-familial intellectual disability syndrome,human disease,,,
Q18965552,sideroblastic anemia with spinocerebellar ataxia,Human disease,,,
Q3483378,siderodromophilia,derivation of pleasure as a result of riding in trains,,,
Q14338275,sigmatism,,,,
Q18967817,simple paranoid state,delusional disorder,,,
Q3937261,simple speech delay,,,,
Q2855814,simple-type schizophrenia,type of schizophrenia,,,
Q7521300,simulated pregnancy,deliberate attempt to create the impression of pregnancy,,,
Q2046811,simultanagnosia,agnosia that is a loss of the ability to recgonize a whole image or scene while retaining the ability to recognize objects or details in their visual field one at a time,,,
Q18966274,single episode manic disorder,Human disease,,,
Q18968057,single episode mild major depression,Human disease,,,
Q18968058,single episode moderate major depression,Human disease,,,
Q18967971,single major depressive episode in full remission,Human disease,,,
Q37799360,sinistrophobia,,,,
Q3485506,sitomania,,,,
Q55782997,skeletal dysplasia-epilepsy-short stature syndrome,,,,
Q55782587,skeletal dysplasia-intellectual disability syndrome,,,,
Q213600,sleep apnea,sleep disorder characterized by repeated cessation and commencing of breathing that disrupts sleep,['continuous positive airway pressure'],,
Q19001302,sleep arousal disorder,Human disease,,,
Q68452037,sleep bruxism,sleep disorder characterized by grinding and clenching of the teeth and forceful lateral or protrusive jaw movements,,,
Q177190,sleep disorder,disease of mental health that involves disruption of sleep patterns,"['phenibut', 'quazepam', 'flutoprazepam', 'zolpidem', 'perlapine', 'phenobarbital', 'melperone', '(R)-zopiclone', 'zopiclone']",,
Q102187069,sleep disturbance,symptom,,,
Q3311944,sleep fragmentation,,,['microarousal'],
Q3508612,sleep hypoventilation syndrome,,,['hypoventilation'],
Q7539758,sleep inversion,,,,
